ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,EDUCATION_TYPE,TOTAL_CONTACTS,HAS_CAR,HAS_PROPERTY,INCOME_BAND,INCOME_PER_PERSON,CHILD_RATIO
5008806,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,29,59.0,3.0,0,112500.0,Working,Secondary / secondary special,0.0,1,1,Lower_Middle,56250.0,0.0
5008808,F,N,Y,0.0,Single / not married,House / apartment,0,1,0,1.0,4,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,2.0,0,1,Middle,234000.0,0.0
5008809,F,N,Y,0.0,Single / not married,House / apartment,0,1,0,1.0,26,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,2.0,0,1,Middle,234000.0,0.0
5008810,F,N,Y,0.0,Single / not married,House / apartment,0,1,0,1.0,26,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,2.0,0,1,Middle,234000.0,0.0
5008811,F,N,Y,0.0,Single / not married,House / apartment,0,1,0,1.0,38,52.0,8.0,0,270000.0,Commercial associate,Secondary / secondary special,2.0,0,1,Middle,234000.0,0.0
5008815,M,Y,Y,0.0,Married,House / apartment,1,1,0,2.0,5,46.0,2.0,0,270000.0,Working,Higher education,2.5,1,1,Middle,135000.0,0.0
5112956,M,Y,Y,0.0,Married,House / apartment,1,1,0,2.0,42,46.0,2.0,0,270000.0,Working,Higher education,2.5,1,1,Middle,135000.0,0.0
5008819,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,17,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008820,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,16,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008821,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,8,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008822,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,22,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008823,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,7,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008824,M,Y,Y,0.0,Married,House / apartment,0,0,0,2.0,3,49.0,3.0,0,135000.0,Commercial associate,Secondary / secondary special,0.0,1,1,Lower_Middle,67500.0,0.0
5008825,F,Y,N,0.0,Married,House / apartment,0,0,0,2.0,25,29.0,3.0,0,130500.0,Working,Incomplete higher,0.0,1,0,Lower_Middle,65250.0,0.0
