ID,GENDER,CAR,REALITY,NO_OF_CHILD,FAMILY_TYPE,HOUSE_TYPE,FLAG_MOBIL,WORK_PHONE,PHONE,E_MAIL,FAMILY SIZE,BEGIN_MONTH,AGE,YEARS_EMPLOYED,TARGET,INCOME,INCOME_TYPE,EDUCATION_TYPE
5008806,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,29,59,3.0,0,112500.0,Working,Secondary / secondary special
5008808,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,4,52,8.0,0,270000.0,Commercial associate,Secondary / secondary special
5008809,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,26,52,8.0,0,270000.0,Commercial associate,Secondary / secondary special
5008810,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,26,52,8.0,0,270000.0,Commercial associate,Secondary / secondary special
5008811,F,N,Y,0,Single / not married,House / apartment,1,0,1,1,1.0,38,52,8.0,0,270000.0,Commercial associate,Secondary / secondary special
5008815,M,Y,Y,0,Married,House / apartment,1,1,1,1,2.0,5,46,2.0,0,270000.0,Working,Higher education
5112956,M,Y,Y,0,Married,House / apartment,1,1,1,1,2.0,42,46,2.0,0,270000.0,Working,Higher education
5008819,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,17,49,3.0,0,135000.0,Commercial associate,Secondary / secondary special
5008820,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,16,49,3.0,0,135000.0,Commercial associate,Secondary / secondary special
5008821,M,Y,Y,0,Married,House / apartment,1,0,0,0,2.0,8,49,3.0,0,135000.0,Commercial associate,Secondary / secondary special
