,count,mean,std,min,25%,50%,75%,max
ID,25134.0,5078837.564335164,41941.01878796467,5008806.0,5042228.25,5079004.0,5115603.75,5150487.0
NO_OF_CHILD,25134.0,0.5123338903477361,0.787785147629186,0.0,0.0,0.0,1.0,19.0
FLAG_MOBIL,25134.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0
WORK_PHONE,25134.0,0.27381236571974216,0.4459227125588089,0.0,0.0,0.0,1.0,1.0
PHONE,25134.0,0.29279064215803297,0.45505221762331566,0.0,0.0,0.0,1.0,1.0
E_MAIL,25134.0,0.10066045993474974,0.3008845853402,0.0,0.0,0.0,0.0,1.0
FAMILY SIZE,25133.0,2.2940755182429475,0.947606613523969,1.0,2.0,2.0,3.0,20.0
BEGIN_MONTH,25134.0,26.120593618206414,16.43965764734713,0.0,12.0,24.0,39.0,60.0
AGE,25134.0,40.589997612795415,10.34813561041509,21.0,33.0,40.0,48.0,450.0
YEARS_EMPLOYED,25125.0,7.2052139303482585,6.415004393096103,0.0,3.0,5.0,10.0,43.0
TARGET,25134.0,0.01679000557014403,0.12848641217193277,0.0,0.0,0.0,0.0,1.0
INCOME,25134.0,194833.8514561948,104510.98724335466,27000.0,135000.0,180000.0,225000.0,1575000.0
